# Ndhmod
# 64
# Ndh alpha lgfnu60_fnu100 lgLIR_M[Lsol] lgLIR_C[Lsol]
01 0.0625  0.2135 14.350 14.168                                                 
02 0.1250  0.2104 14.326 14.148                                                 
03 0.1875  0.2069 14.300 14.125                                                 
04 0.2500  0.2032 14.272 14.102                                                 
05 0.3125  0.1991 14.241 14.077                                                 
06 0.3750  0.1947 14.208 14.048                                                 
07 0.4375  0.1898 14.171 14.016                                                 
08 0.5000  0.1846 14.132 13.984                                                 
09 0.5625  0.1787 14.089 13.946                                                 
10 0.6250  0.1723 14.042 13.905                                                 
11 0.6875  0.1653 13.990 13.860                                                 
12 0.7500  0.1576 13.934 13.810                                                 
13 0.8125  0.1490 13.872 13.754                                                 
14 0.8750  0.1395 13.803 13.693                                                 
15 0.9375  0.1291 13.729 13.626                                                 
16 1.0000  0.1175 13.647 13.550                                                 
17 1.0625  0.1046 13.556 13.466                                                 
18 1.1250  0.0903 13.456 13.372                                                 
19 1.1875  0.0744 13.346 13.268                                                 
20 1.2500  0.0567 13.224 13.151                                                 
21 1.3125  0.0371 13.091 13.021                                                 
22 1.3750  0.0154 12.944 12.877                                                 
23 1.4375 -0.0084 12.784 12.717                                                 
24 1.5000 -0.0345 12.611 12.542                                                 
25 1.5625 -0.0629 12.423 12.350                                                 
26 1.6250 -0.0933 12.222 12.143                                                 
27 1.6875 -0.1257 12.008 11.921                                                 
28 1.7500 -0.1596 11.785 11.685                                                 
29 1.8125 -0.1944 11.554 11.434                                                 
30 1.8750 -0.2298 11.318 11.167                                                 
31 1.9375 -0.2649 11.081 10.879                                                 
32 2.0000 -0.2990 10.849 10.551                                                 
33 2.0625 -0.3316 10.625 10.130                                                 
34 2.1250 -0.3621 10.412  9.452                                                 
35 2.1875 -0.3900 10.214  8.321                                                 
36 2.2500 -0.4151 10.035  7.106                                                 
37 2.3125 -0.4372  9.876  6.024                                                 
38 2.3750 -0.4565  9.735  5.079                                                 
39 2.4375 -0.4731  9.614  4.268                                                 
40 2.5000 -0.4871  9.511  3.584                                                 
41 2.5625 -0.4989  9.424  3.009                                                 
42 2.6250 -0.5086  9.353  2.536                                                 
43 2.6875 -0.5166  9.294  2.146                                                 
44 2.7500 -0.5232  9.246  1.825                                                 
45 2.8125 -0.5284  9.209  1.572                                                 
46 2.8750 -0.5327  9.178  1.363                                                 
47 2.9375 -0.5361  9.154  1.197                                                 
48 3.0000 -0.5388  9.136  1.066                                                 
49 3.0625 -0.5408  9.123  0.969                                                 
50 3.1250 -0.5424  9.113  0.891                                                 
51 3.1875 -0.5435  9.107  0.838                                                 
52 3.2500 -0.5444  9.103  0.794                                                 
53 3.3125 -0.5450  9.100  0.765                                                 
54 3.3750 -0.5453  9.100  0.750                                                 
55 3.4375 -0.5454  9.102  0.745                                                 
56 3.5000 -0.5455  9.103  0.740                                                 
57 3.5625 -0.5454  9.106  0.745                                                 
58 3.6250 -0.5451  9.110  0.760                                                 
59 3.6875 -0.5448  9.115  0.774                                                 
60 3.7500 -0.5445  9.119  0.789                                                 
61 3.8125 -0.5440  9.125  0.813                                                 
62 3.8750 -0.5436  9.130  0.832                                                 
63 3.9375 -0.5430  9.136  0.861                                                 
64 4.0000 -0.5425  9.142  0.885                                                 
