Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.685E-26  5.676E-19 COBE-DIRBE
2.220E+00  1.995E-26  1.175E-18 COBE-DIRBE
3.530E+00  1.223E-25  1.145E-17 COBE-DIRBE
4.880E+00  5.342E-26  6.915E-18 COBE-DIRBE
1.229E+01  1.090E-24  3.553E-16 COBE-DIRBE
2.079E+01  1.834E-24  1.011E-15 COBE-DIRBE
5.599E+01  2.573E-23  3.821E-14 COBE-DIRBE
9.770E+01  3.016E-23  7.815E-14 COBE-DIRBE
1.479E+02  1.713E-23  6.721E-14 COBE-DIRBE
2.479E+02  4.126E-24  2.713E-14 COBE-DIRBE
1.200E+01  1.017E-24  3.239E-16 IRAS
2.500E+01  2.128E-24  1.411E-15 IRAS
6.000E+01  2.713E-23  4.318E-14 IRAS
1.000E+02  2.963E-23  7.860E-14 IRAS
3.550E+00  1.422E-25  1.339E-17 SST-IRAC
4.493E+00  3.871E-26  4.614E-18 SST-IRAC
5.731E+00  3.309E-25  5.030E-17 SST-IRAC
7.872E+00  1.027E-24  2.144E-16 SST-IRAC
2.368E+01  1.932E-24  1.213E-15 SST-MIPS
7.142E+01  2.974E-23  5.634E-14 SST-MIPS
1.559E+02  1.424E-23  5.891E-14 SST-MIPS
1.600E+01  1.406E-24  5.965E-16 SST-IRSPU
2.200E+01  1.931E-24  1.127E-15 SST-IRSPU
7.500E+01  2.567E-23  5.107E-14 Herschel-PACS
1.100E+02  2.148E-23  6.268E-14 Herschel-PACS
1.700E+02  1.080E-23  4.871E-14 Herschel-PACS
2.500E+02  3.430E-24  2.275E-14 Herschel-SPIRE
3.600E+02  8.509E-25  8.125E-15 Herschel-SPIRE
5.200E+02  1.920E-25  2.648E-15 Herschel-SPIRE
2.400E+00  2.194E-26  1.397E-18 Akari IRC NIR N2
3.200E+00  9.425E-26  8.000E-18 Akari IRC NIR N3
4.100E+00  4.214E-26  4.583E-18 Akari IRC NIR N4
7.000E+00  1.108E-24  2.057E-16 Akari IRC MIR-S S7
9.000E+00  9.077E-25  2.167E-16 Akari IRC MIR-S S9W
1.100E+01  9.112E-25  2.659E-16 Akari IRC MIR-S S11
1.500E+01  1.482E-24  5.898E-16 Akari IRC MIR-L L15
1.800E+01  1.678E-24  8.013E-16 Akari IRC MIR-L L18W
2.400E+01  1.907E-24  1.214E-15 Akari IRC MIR-L L24
6.500E+01  3.113E-23  5.367E-14 Akari FIS N60
8.000E+01  3.136E-23  6.655E-14 Akari FIS WIDE-S
1.400E+02  1.710E-23  6.349E-14 Akari FIS WIDE-L
1.600E+02  1.338E-23  5.680E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  7.963E-31  2.112E-19
9.908E+03  8.255E-31  2.170E-19
9.817E+03  8.559E-31  2.229E-19
9.727E+03  8.873E-31  2.290E-19
9.638E+03  9.199E-31  2.352E-19
9.550E+03  9.537E-31  2.416E-19
9.462E+03  9.888E-31  2.482E-19
9.376E+03  1.025E-30  2.549E-19
9.290E+03  1.063E-30  2.619E-19
9.204E+03  1.102E-30  2.690E-19
9.120E+03  1.142E-30  2.764E-19
9.036E+03  1.184E-30  2.839E-19
8.954E+03  1.228E-30  2.916E-19
8.872E+03  1.273E-30  2.995E-19
8.790E+03  1.319E-30  3.076E-19
8.710E+03  1.368E-30  3.160E-19
8.630E+03  1.418E-30  3.245E-19
8.551E+03  1.470E-30  3.334E-19
8.472E+03  1.524E-30  3.424E-19
8.395E+03  1.580E-30  3.517E-19
8.318E+03  1.638E-30  3.613E-19
8.241E+03  1.698E-30  3.712E-19
8.166E+03  1.760E-30  3.813E-19
8.091E+03  1.825E-30  3.917E-19
8.017E+03  1.892E-30  4.024E-19
7.943E+03  1.962E-30  4.134E-19
7.870E+03  2.034E-30  4.247E-19
7.798E+03  2.110E-30  4.364E-19
7.727E+03  2.187E-30  4.483E-19
7.656E+03  2.268E-30  4.606E-19
7.586E+03  2.352E-30  4.733E-19
7.516E+03  2.439E-30  4.863E-19
7.447E+03  2.529E-30  4.997E-19
7.379E+03  2.623E-30  5.134E-19
7.311E+03  2.720E-30  5.276E-19
7.244E+03  2.821E-30  5.421E-19
7.178E+03  2.926E-30  5.571E-19
7.112E+03  3.034E-30  5.724E-19
7.047E+03  3.147E-30  5.882E-19
6.982E+03  3.264E-30  6.045E-19
6.918E+03  3.385E-30  6.212E-19
6.855E+03  3.511E-30  6.384E-19
6.792E+03  3.641E-30  6.560E-19
6.730E+03  3.777E-30  6.742E-19
6.668E+03  3.917E-30  6.928E-19
6.607E+03  4.063E-30  7.120E-19
6.546E+03  4.214E-30  7.318E-19
6.486E+03  4.371E-30  7.521E-19
6.427E+03  4.535E-30  7.730E-19
6.368E+03  4.704E-30  7.945E-19
6.310E+03  4.880E-30  8.167E-19
6.252E+03  5.062E-30  8.394E-19
6.194E+03  5.251E-30  8.628E-19
6.138E+03  5.448E-30  8.869E-19
6.081E+03  5.652E-30  9.117E-19
6.026E+03  5.864E-30  9.372E-19
5.970E+03  6.083E-30  9.634E-19
5.916E+03  6.312E-30  9.904E-19
5.861E+03  6.549E-30  1.018E-18
5.808E+03  6.795E-30  1.047E-18
5.754E+03  7.050E-30  1.076E-18
5.702E+03  7.315E-30  1.106E-18
5.649E+03  7.591E-30  1.137E-18
