Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         2 = grain model
 4.000E-08 4.000E-01 7.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.426E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.118E-26  1.387E-18 COBE-DIRBE
2.220E+00  5.122E-26  3.016E-18 COBE-DIRBE
3.530E+00  3.355E-25  3.141E-17 COBE-DIRBE
4.880E+00  1.492E-25  1.931E-17 COBE-DIRBE
1.229E+01  1.764E-24  5.752E-16 COBE-DIRBE
2.079E+01  1.986E-24  1.095E-15 COBE-DIRBE
5.599E+01  2.450E-23  3.638E-14 COBE-DIRBE
9.770E+01  2.921E-23  7.571E-14 COBE-DIRBE
1.479E+02  1.674E-23  6.568E-14 COBE-DIRBE
2.479E+02  4.055E-24  2.666E-14 COBE-DIRBE
1.200E+01  1.804E-24  5.744E-16 IRAS
2.500E+01  2.179E-24  1.445E-15 IRAS
6.000E+01  2.589E-23  4.121E-14 IRAS
1.000E+02  2.872E-23  7.619E-14 IRAS
3.550E+00  3.903E-25  3.676E-17 SST-IRAC
4.493E+00  1.079E-25  1.286E-17 SST-IRAC
5.731E+00  8.880E-25  1.350E-16 SST-IRAC
7.872E+00  2.313E-24  4.830E-16 SST-IRAC
2.368E+01  1.957E-24  1.229E-15 SST-MIPS
7.142E+01  2.853E-23  5.405E-14 SST-MIPS
1.559E+02  1.394E-23  5.764E-14 SST-MIPS
1.600E+01  1.781E-24  7.558E-16 SST-IRSPU
2.200E+01  1.993E-24  1.163E-15 SST-IRSPU
7.500E+01  2.462E-23  4.899E-14 Herschel-PACS
1.100E+02  2.083E-23  6.079E-14 Herschel-PACS
1.700E+02  1.057E-23  4.766E-14 Herschel-PACS
2.500E+02  3.373E-24  2.237E-14 Herschel-SPIRE
3.600E+02  8.378E-25  8.000E-15 Herschel-SPIRE
5.200E+02  1.892E-25  2.610E-15 Herschel-SPIRE
2.400E+00  5.727E-26  3.646E-18 Akari IRC NIR N2
3.200E+00  2.578E-25  2.189E-17 Akari IRC NIR N3
4.100E+00  1.173E-25  1.276E-17 Akari IRC NIR N4
7.000E+00  2.590E-24  4.810E-16 Akari IRC MIR-S S7
9.000E+00  1.908E-24  4.556E-16 Akari IRC MIR-S S9W
1.100E+01  1.630E-24  4.755E-16 Akari IRC MIR-S S11
1.500E+01  1.865E-24  7.421E-16 Akari IRC MIR-L L15
1.800E+01  1.883E-24  8.992E-16 Akari IRC MIR-L L18W
2.400E+01  1.954E-24  1.244E-15 Akari IRC MIR-L L24
6.500E+01  2.979E-23  5.137E-14 Akari FIS N60
8.000E+01  3.027E-23  6.423E-14 Akari FIS WIDE-S
1.400E+02  1.671E-23  6.205E-14 Akari FIS WIDE-L
1.600E+02  1.310E-23  5.561E-14 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  7.903E-31  2.096E-19
9.908E+03  8.194E-31  2.154E-19
9.817E+03  8.495E-31  2.212E-19
9.727E+03  8.807E-31  2.272E-19
9.638E+03  9.130E-31  2.334E-19
9.550E+03  9.465E-31  2.398E-19
9.462E+03  9.813E-31  2.463E-19
9.376E+03  1.017E-30  2.530E-19
9.290E+03  1.055E-30  2.599E-19
9.204E+03  1.093E-30  2.670E-19
9.120E+03  1.134E-30  2.742E-19
9.036E+03  1.175E-30  2.817E-19
8.954E+03  1.218E-30  2.894E-19
8.872E+03  1.263E-30  2.972E-19
8.790E+03  1.309E-30  3.052E-19
8.710E+03  1.357E-30  3.135E-19
8.630E+03  1.407E-30  3.220E-19
8.551E+03  1.458E-30  3.307E-19
8.472E+03  1.512E-30  3.397E-19
8.395E+03  1.567E-30  3.489E-19
8.318E+03  1.625E-30  3.584E-19
8.241E+03  1.684E-30  3.682E-19
8.166E+03  1.746E-30  3.782E-19
8.091E+03  1.810E-30  3.885E-19
8.017E+03  1.877E-30  3.991E-19
7.943E+03  1.946E-30  4.100E-19
7.870E+03  2.018E-30  4.212E-19
7.798E+03  2.092E-30  4.328E-19
7.727E+03  2.169E-30  4.446E-19
7.656E+03  2.249E-30  4.568E-19
7.586E+03  2.332E-30  4.693E-19
7.516E+03  2.419E-30  4.822E-19
7.447E+03  2.508E-30  4.955E-19
7.379E+03  2.601E-30  5.091E-19
7.311E+03  2.697E-30  5.231E-19
7.244E+03  2.797E-30  5.375E-19
7.178E+03  2.901E-30  5.523E-19
7.112E+03  3.008E-30  5.675E-19
7.047E+03  3.120E-30  5.832E-19
6.982E+03  3.236E-30  5.993E-19
6.918E+03  3.356E-30  6.158E-19
6.855E+03  3.480E-30  6.328E-19
6.792E+03  3.610E-30  6.503E-19
6.730E+03  3.744E-30  6.683E-19
6.668E+03  3.883E-30  6.868E-19
6.607E+03  4.027E-30  7.058E-19
6.546E+03  4.177E-30  7.254E-19
6.486E+03  4.333E-30  7.455E-19
6.427E+03  4.494E-30  7.662E-19
6.368E+03  4.662E-30  7.875E-19
6.310E+03  4.836E-30  8.094E-19
6.252E+03  5.017E-30  8.319E-19
6.194E+03  5.204E-30  8.551E-19
6.138E+03  5.399E-30  8.790E-19
6.081E+03  5.601E-30  9.035E-19
6.026E+03  5.811E-30  9.287E-19
5.970E+03  6.028E-30  9.547E-19
5.916E+03  6.254E-30  9.814E-19
5.861E+03  6.489E-30  1.009E-18
5.808E+03  6.733E-30  1.037E-18
5.754E+03  6.985E-30  1.066E-18
5.702E+03  7.248E-30  1.096E-18
5.649E+03  7.521E-30  1.127E-18
5.598E+03  7.804E-30  1.159E-18
5.546E+03  8.097E-30  1.191E-18
5.495E+03  8.403E-30  1.225E-18
5.445E+03  8.719E-30  1.259E-18
5.395E+03  9.048E-30  1.295E-18
5.346E+03  9.390E-30  1.331E-18
5.297E+03  9.744E-30  1.369E-18
5.248E+03  1.011E-29  1.408E-18
5.200E+03  1.049E-29  1.448E-18
5.152E+03  1.089E-29  1.489E-18
5.105E+03  1.130E-29  1.531E-18
5.058E+03  1.173E-29  1.574E-18
5.012E+03  1.218E-29  1.619E-18
4.966E+03  1.264E-29  1.665E-18
4.920E+03  1.312E-29  1.712E-18
4.875E+03  1.361E-29  1.761E-18
4.831E+03  1.413E-29  1.811E-18
4.786E+03  1.467E-29  1.862E-18
4.742E+03  1.523E-29  1.915E-18
4.699E+03  1.581E-29  1.970E-18
4.656E+03  1.641E-29  2.026E-18
4.613E+03  1.703E-29  2.084E-18
4.571E+03  1.768E-29  2.144E-18
4.529E+03  1.836E-29  2.205E-18
4.487E+03  1.906E-29  2.268E-18
4.446E+03  1.978E-29  2.333E-18
4.406E+03  2.054E-29  2.400E-18
4.365E+03  2.133E-29  2.469E-18
4.325E+03  2.214E-29  2.540E-18
4.285E+03  2.299E-29  2.613E-18
4.246E+03  2.387E-29  2.689E-18
4.207E+03  2.478E-29  2.766E-18
4.169E+03  2.574E-29  2.846E-18
4.130E+03  2.672E-29  2.928E-18
4.093E+03  2.775E-29  3.013E-18
4.055E+03  2.882E-29  3.100E-18
4.018E+03  2.992E-29  3.189E-18
3.981E+03  3.107E-29  3.282E-18
3.945E+03  3.227E-29  3.376E-18
3.908E+03  3.351E-29  3.474E-18
3.873E+03  3.480E-29  3.575E-18
3.837E+03  3.614E-29  3.678E-18
3.802E+03  3.753E-29  3.785E-18
3.767E+03  3.898E-29  3.895E-18
3.733E+03  4.049E-29  4.009E-18
3.698E+03  4.205E-29  4.125E-18
3.664E+03  4.368E-29  4.246E-18
3.631E+03  4.537E-29  4.369E-18
3.597E+03  4.713E-29  4.497E-18
3.565E+03  4.895E-29  4.628E-18
3.532E+03  5.085E-29  4.764E-18
3.499E+03  5.282E-29  4.903E-18
3.467E+03  5.488E-29  5.047E-18
3.436E+03  5.701E-29  5.195E-18
3.404E+03  5.923E-29  5.348E-18
3.373E+03  6.153E-29  5.505E-18
3.342E+03  6.393E-29  5.667E-18
3.311E+03  6.642E-29  5.834E-18
3.281E+03  6.901E-29  6.006E-18
3.251E+03  7.170E-29  6.183E-18
3.221E+03  7.450E-29  6.366E-18
3.192E+03  7.741E-29  6.554E-18
3.162E+03  8.044E-29  6.748E-18
3.133E+03  8.359E-29  6.947E-18
3.105E+03  8.686E-29  7.153E-18
3.076E+03  9.027E-29  7.365E-18
3.048E+03  9.380E-29  7.584E-18
3.020E+03  9.748E-29  7.809E-18
2.992E+03  1.013E-28  8.041E-18
2.965E+03  1.053E-28  8.279E-18
2.938E+03  1.094E-28  8.525E-18
2.911E+03  1.137E-28  8.778E-18
2.884E+03  1.182E-28  9.039E-18
2.858E+03  1.228E-28  9.308E-18
2.831E+03  1.276E-28  9.585E-18
2.805E+03  1.326E-28  9.870E-18
2.780E+03  1.379E-28  1.016E-17
2.754E+03  1.433E-28  1.047E-17
2.729E+03  1.489E-28  1.078E-17
2.704E+03  1.548E-28  1.110E-17
2.679E+03  1.609E-28  1.144E-17
2.655E+03  1.673E-28  1.178E-17
2.630E+03  1.739E-28  1.213E-17
2.606E+03  1.808E-28  1.250E-17
2.582E+03  1.879E-28  1.287E-17
2.559E+03  1.954E-28  1.326E-17
2.535E+03  2.031E-28  1.366E-17
2.512E+03  2.111E-28  1.407E-17
2.489E+03  2.195E-28  1.449E-17
2.466E+03  2.282E-28  1.493E-17
2.443E+03  2.373E-28  1.538E-17
2.421E+03  2.467E-28  1.585E-17
2.399E+03  2.565E-28  1.632E-17
2.377E+03  2.668E-28  1.682E-17
2.355E+03  2.774E-28  1.733E-17
2.333E+03  2.884E-28  1.785E-17
2.312E+03  2.999E-28  1.839E-17
2.291E+03  3.119E-28  1.895E-17
2.270E+03  3.243E-28  1.953E-17
2.249E+03  3.373E-28  2.012E-17
