Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  4.551E-25  1.533E-17 COBE-DIRBE
2.220E+00  5.736E-25  3.378E-17 COBE-DIRBE
3.530E+00  3.822E-24  3.579E-16 COBE-DIRBE
4.880E+00  1.783E-24  2.308E-16 COBE-DIRBE
1.229E+01  2.283E-23  7.444E-15 COBE-DIRBE
2.079E+01  4.400E-23  2.426E-14 COBE-DIRBE
5.599E+01  1.891E-22  2.808E-13 COBE-DIRBE
9.770E+01  8.847E-23  2.293E-13 COBE-DIRBE
1.479E+02  3.480E-23  1.365E-13 COBE-DIRBE
2.479E+02  6.574E-24  4.322E-14 COBE-DIRBE
1.200E+01  2.240E-23  7.130E-15 IRAS
2.500E+01  6.508E-23  4.316E-14 IRAS
6.000E+01  1.790E-22  2.849E-13 IRAS
1.000E+02  8.397E-23  2.227E-13 IRAS
3.550E+00  4.448E-24  4.188E-16 SST-IRAC
4.493E+00  1.239E-24  1.476E-16 SST-IRAC
5.731E+00  1.096E-23  1.666E-15 SST-IRAC
7.872E+00  2.855E-23  5.961E-15 SST-IRAC
2.368E+01  5.747E-23  3.610E-14 SST-MIPS
7.142E+01  1.338E-22  2.535E-13 SST-MIPS
1.559E+02  2.716E-23  1.123E-13 SST-MIPS
1.600E+01  2.531E-23  1.074E-14 SST-IRSPU
2.200E+01  5.373E-23  3.135E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.646E-31  2.559E-19
9.908E+03  1.000E-30  2.628E-19
9.817E+03  1.037E-30  2.700E-19
9.727E+03  1.075E-30  2.773E-19
9.638E+03  1.114E-30  2.849E-19
9.550E+03  1.155E-30  2.926E-19
9.462E+03  1.198E-30  3.006E-19
9.376E+03  1.242E-30  3.088E-19
9.290E+03  1.287E-30  3.172E-19
9.204E+03  1.335E-30  3.259E-19
9.120E+03  1.384E-30  3.347E-19
9.036E+03  1.435E-30  3.439E-19
8.954E+03  1.487E-30  3.532E-19
8.872E+03  1.541E-30  3.627E-19
8.790E+03  1.598E-30  3.726E-19
8.710E+03  1.656E-30  3.827E-19
8.630E+03  1.717E-30  3.930E-19
8.551E+03  1.780E-30  4.037E-19
8.472E+03  1.845E-30  4.147E-19
8.395E+03  1.913E-30  4.260E-19
8.318E+03  1.983E-30  4.376E-19
8.241E+03  2.056E-30  4.495E-19
8.166E+03  2.132E-30  4.617E-19
8.091E+03  2.210E-30  4.743E-19
8.017E+03  2.291E-30  4.873E-19
7.943E+03  2.376E-30  5.006E-19
7.870E+03  2.463E-30  5.143E-19
7.798E+03  2.554E-30  5.284E-19
7.727E+03  2.649E-30  5.429E-19
7.656E+03  2.746E-30  5.577E-19
7.586E+03  2.848E-30  5.731E-19
7.516E+03  2.953E-30  5.888E-19
7.447E+03  3.063E-30  6.050E-19
7.379E+03  3.176E-30  6.216E-19
7.311E+03  3.294E-30  6.388E-19
7.244E+03  3.416E-30  6.564E-19
7.178E+03  3.542E-30  6.745E-19
7.112E+03  3.674E-30  6.931E-19
7.047E+03  3.810E-30  7.122E-19
6.982E+03  3.952E-30  7.319E-19
6.918E+03  4.098E-30  7.521E-19
6.855E+03  4.251E-30  7.729E-19
6.792E+03  4.409E-30  7.943E-19
6.730E+03  4.573E-30  8.163E-19
6.668E+03  4.743E-30  8.389E-19
6.607E+03  4.919E-30  8.621E-19
6.546E+03  5.103E-30  8.861E-19
6.486E+03  5.293E-30  9.107E-19
6.427E+03  5.490E-30  9.360E-19
6.368E+03  5.695E-30  9.621E-19
6.310E+03  5.908E-30  9.889E-19
6.252E+03  6.129E-30  1.016E-18
6.194E+03  6.359E-30  1.045E-18
6.138E+03  6.597E-30  1.074E-18
6.081E+03  6.844E-30  1.104E-18
6.026E+03  7.100E-30  1.135E-18
5.970E+03  7.367E-30  1.167E-18
5.916E+03  7.643E-30  1.199E-18
5.861E+03  7.930E-30  1.233E-18
5.808E+03  8.229E-30  1.268E-18
5.754E+03  8.538E-30  1.303E-18
5.702E+03  8.859E-30  1.340E-18
5.649E+03  9.193E-30  1.378E-18
5.598E+03  9.539E-30  1.416E-18
5.546E+03  9.899E-30  1.456E-18
5.495E+03  1.027E-29  1.497E-18
5.445E+03  1.066E-29  1.540E-18
5.395E+03  1.106E-29  1.583E-18
5.346E+03  1.148E-29  1.628E-18
5.297E+03  1.192E-29  1.674E-18
5.248E+03  1.237E-29  1.722E-18
5.200E+03  1.284E-29  1.770E-18
5.152E+03  1.332E-29  1.821E-18
5.105E+03  1.383E-29  1.872E-18
5.058E+03  1.435E-29  1.926E-18
5.012E+03  1.490E-29  1.980E-18
4.966E+03  1.546E-29  2.037E-18
4.920E+03  1.605E-29  2.095E-18
4.875E+03  1.666E-29  2.154E-18
4.831E+03  1.729E-29  2.216E-18
4.786E+03  1.795E-29  2.279E-18
4.742E+03  1.863E-29  2.344E-18
4.699E+03  1.934E-29  2.411E-18
4.656E+03  2.008E-29  2.480E-18
4.613E+03  2.085E-29  2.551E-18
4.571E+03  2.164E-29  2.624E-18
4.529E+03  2.247E-29  2.700E-18
4.487E+03  2.333E-29  2.777E-18
4.446E+03  2.422E-29  2.857E-18
4.406E+03  2.515E-29  2.939E-18
4.365E+03  2.612E-29  3.024E-18
4.325E+03  2.712E-29  3.111E-18
4.285E+03  2.816E-29  3.201E-18
4.246E+03  2.924E-29  3.293E-18
4.207E+03  3.036E-29  3.389E-18
4.169E+03  3.153E-29  3.487E-18
4.130E+03  3.274E-29  3.588E-18
4.093E+03  3.401E-29  3.692E-18
4.055E+03  3.532E-29  3.799E-18
4.018E+03  3.668E-29  3.909E-18
3.981E+03  3.809E-29  4.022E-18
3.945E+03  3.956E-29  4.139E-18
3.908E+03  4.108E-29  4.259E-18
