Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.111E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.558E-25  5.250E-18 COBE-DIRBE
2.220E+00  1.859E-25  1.095E-17 COBE-DIRBE
3.530E+00  1.160E-24  1.087E-16 COBE-DIRBE
4.880E+00  6.432E-25  8.325E-17 COBE-DIRBE
1.229E+01  3.003E-23  9.789E-15 COBE-DIRBE
2.079E+01  1.004E-22  5.536E-14 COBE-DIRBE
5.599E+01  2.261E-22  3.358E-13 COBE-DIRBE
9.770E+01  9.437E-23  2.446E-13 COBE-DIRBE
1.479E+02  3.615E-23  1.418E-13 COBE-DIRBE
2.479E+02  6.747E-24  4.436E-14 COBE-DIRBE
1.200E+01  2.582E-23  8.219E-15 IRAS
2.500E+01  1.411E-22  9.356E-14 IRAS
6.000E+01  2.126E-22  3.384E-13 IRAS
1.000E+02  8.927E-23  2.368E-13 IRAS
3.550E+00  1.349E-24  1.270E-16 SST-IRAC
4.493E+00  4.166E-25  4.965E-17 SST-IRAC
5.731E+00  5.165E-24  7.852E-16 SST-IRAC
7.872E+00  2.265E-23  4.729E-15 SST-IRAC
2.368E+01  1.317E-22  8.271E-14 SST-MIPS
7.142E+01  1.485E-22  2.813E-13 SST-MIPS
1.559E+02  2.811E-23  1.162E-13 SST-MIPS
1.600E+01  4.707E-23  1.998E-14 SST-IRSPU
2.200E+01  1.241E-22  7.244E-14 SST-IRSPU











lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.738E-31  2.583E-19
9.908E+03  1.010E-30  2.654E-19
9.817E+03  1.047E-30  2.726E-19
9.727E+03  1.085E-30  2.800E-19
9.638E+03  1.125E-30  2.877E-19
9.550E+03  1.167E-30  2.955E-19
9.462E+03  1.209E-30  3.036E-19
9.376E+03  1.254E-30  3.119E-19
9.290E+03  1.300E-30  3.204E-19
9.204E+03  1.348E-30  3.291E-19
9.120E+03  1.398E-30  3.381E-19
9.036E+03  1.449E-30  3.473E-19
8.954E+03  1.502E-30  3.568E-19
8.872E+03  1.557E-30  3.665E-19
8.790E+03  1.614E-30  3.764E-19
8.710E+03  1.674E-30  3.866E-19
8.630E+03  1.735E-30  3.971E-19
8.551E+03  1.799E-30  4.080E-19
8.472E+03  1.865E-30  4.191E-19
8.395E+03  1.933E-30  4.305E-19
8.318E+03  2.004E-30  4.422E-19
8.241E+03  2.078E-30  4.543E-19
8.166E+03  2.155E-30  4.667E-19
8.091E+03  2.234E-30  4.795E-19
8.017E+03  2.316E-30  4.926E-19
7.943E+03  2.402E-30  5.061E-19
7.870E+03  2.491E-30  5.200E-19
7.798E+03  2.583E-30  5.342E-19
7.727E+03  2.678E-30  5.489E-19
7.656E+03  2.777E-30  5.640E-19
7.586E+03  2.880E-30  5.795E-19
7.516E+03  2.987E-30  5.955E-19
7.447E+03  3.097E-30  6.119E-19
7.379E+03  3.212E-30  6.288E-19
7.311E+03  3.331E-30  6.461E-19
7.244E+03  3.455E-30  6.639E-19
7.178E+03  3.583E-30  6.823E-19
7.112E+03  3.717E-30  7.012E-19
7.047E+03  3.855E-30  7.206E-19
6.982E+03  3.998E-30  7.405E-19
6.918E+03  4.147E-30  7.610E-19
6.855E+03  4.301E-30  7.821E-19
6.792E+03  4.461E-30  8.038E-19
6.730E+03  4.627E-30  8.261E-19
6.668E+03  4.800E-30  8.490E-19
6.607E+03  4.979E-30  8.726E-19
6.546E+03  5.165E-30  8.968E-19
6.486E+03  5.358E-30  9.218E-19
6.427E+03  5.558E-30  9.475E-19
6.368E+03  5.766E-30  9.739E-19
6.310E+03  5.981E-30  1.001E-18
6.252E+03  6.205E-30  1.029E-18
6.194E+03  6.438E-30  1.058E-18
6.138E+03  6.679E-30  1.087E-18
6.081E+03  6.930E-30  1.118E-18
6.026E+03  7.190E-30  1.149E-18
5.970E+03  7.460E-30  1.181E-18
5.916E+03  7.740E-30  1.215E-18
5.861E+03  8.032E-30  1.249E-18
5.808E+03  8.334E-30  1.284E-18
5.754E+03  8.648E-30  1.320E-18
5.702E+03  8.974E-30  1.357E-18
5.649E+03  9.312E-30  1.395E-18
5.598E+03  9.663E-30  1.435E-18
5.546E+03  1.003E-29  1.475E-18
5.495E+03  1.041E-29  1.517E-18
5.445E+03  1.080E-29  1.560E-18
5.395E+03  1.121E-29  1.604E-18
5.346E+03  1.163E-29  1.650E-18
5.297E+03  1.207E-29  1.696E-18
5.248E+03  1.253E-29  1.744E-18
5.200E+03  1.301E-29  1.794E-18
5.152E+03  1.350E-29  1.845E-18
5.105E+03  1.401E-29  1.897E-18
5.058E+03  1.454E-29  1.951E-18
5.012E+03  1.510E-29  2.007E-18
4.966E+03  1.567E-29  2.064E-18
4.920E+03  1.627E-29  2.123E-18
4.875E+03  1.689E-29  2.184E-18
4.831E+03  1.753E-29  2.246E-18
4.786E+03  1.820E-29  2.310E-18
4.742E+03  1.889E-29  2.376E-18
4.699E+03  1.961E-29  2.444E-18
4.656E+03  2.036E-29  2.514E-18
4.613E+03  2.114E-29  2.586E-18
4.571E+03  2.194E-29  2.661E-18
4.529E+03  2.278E-29  2.737E-18
4.487E+03  2.366E-29  2.816E-18
4.446E+03  2.456E-29  2.897E-18
4.406E+03  2.550E-29  2.980E-18
4.365E+03  2.648E-29  3.066E-18
4.325E+03  2.750E-29  3.155E-18
4.285E+03  2.855E-29  3.246E-18
4.246E+03  2.965E-29  3.340E-18
4.207E+03  3.079E-29  3.437E-18
4.169E+03  3.198E-29  3.536E-18
4.130E+03  3.321E-29  3.639E-18
4.093E+03  3.449E-29  3.744E-18
4.055E+03  3.582E-29  3.853E-18
4.018E+03  3.720E-29  3.965E-18
3.981E+03  3.864E-29  4.080E-18
3.945E+03  4.013E-29  4.198E-18
3.908E+03  4.167E-29  4.321E-18
3.873E+03  4.328E-29  4.446E-18
3.837E+03  4.496E-29  4.576E-18
3.802E+03  4.670E-29  4.709E-18
3.767E+03  4.850E-29  4.847E-18
3.733E+03  5.038E-29  4.988E-18
3.698E+03  5.234E-29  5.134E-18
3.664E+03  5.437E-29  5.285E-18
3.631E+03  5.648E-29  5.439E-18
3.597E+03  5.867E-29  5.599E-18
