Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  2.022E-25  6.811E-18 COBE-DIRBE
2.220E+00  2.600E-25  1.531E-17 COBE-DIRBE
3.530E+00  2.400E-24  2.247E-16 COBE-DIRBE
4.880E+00  5.488E-24  7.104E-16 COBE-DIRBE
1.229E+01  7.218E-23  2.353E-14 COBE-DIRBE
2.079E+01  1.646E-22  9.076E-14 COBE-DIRBE
5.599E+01  2.350E-22  3.491E-13 COBE-DIRBE
9.770E+01  9.497E-23  2.461E-13 COBE-DIRBE
1.479E+02  3.624E-23  1.422E-13 COBE-DIRBE
2.479E+02  6.755E-24  4.441E-14 COBE-DIRBE
1.200E+01  6.710E-23  2.136E-14 IRAS
2.500E+01  2.085E-22  1.383E-13 IRAS
6.000E+01  2.208E-22  3.514E-13 IRAS
1.000E+02  8.979E-23  2.382E-13 IRAS
3.550E+00  2.689E-24  2.532E-16 SST-IRAC
4.493E+00  3.657E-24  4.358E-16 SST-IRAC
5.731E+00  1.833E-23  2.787E-15 SST-IRAC
7.872E+00  5.859E-23  1.224E-14 SST-IRAC
2.368E+01  1.970E-22  1.237E-13 SST-MIPS
7.142E+01  1.507E-22  2.856E-13 SST-MIPS
1.559E+02  2.817E-23  1.165E-13 SST-MIPS
1.600E+01  9.987E-23  4.239E-14 SST-IRSPU
2.200E+01  1.911E-22  1.115E-13 SST-IRSPU
7.500E+01  1.307E-22  2.600E-13 Herschel-PACS
1.100E+02  6.342E-23  1.850E-13 Herschel-PACS
1.700E+02  2.146E-23  9.679E-14 Herschel-PACS
2.500E+02  5.487E-24  3.639E-14 Herschel-SPIRE
3.600E+02  1.228E-24  1.173E-14 Herschel-SPIRE
5.200E+02  2.615E-25  3.607E-15 Herschel-SPIRE
2.400E+00  3.472E-25  2.210E-17 Akari IRC NIR N2
3.200E+00  1.720E-24  1.460E-16 Akari IRC NIR N3
4.100E+00  3.492E-24  3.798E-16 Akari IRC NIR N4
7.000E+00  5.684E-23  1.055E-14 Akari IRC MIR-S S7
9.000E+00  5.899E-23  1.408E-14 Akari IRC MIR-S S9W
1.100E+01  6.341E-23  1.850E-14 Akari IRC MIR-S S11
1.500E+01  1.055E-22  4.199E-14 Akari IRC MIR-L L15
1.800E+01  1.450E-22  6.925E-14 Akari IRC MIR-L L18W
2.400E+01  1.924E-22  1.225E-13 Akari IRC MIR-L L24
6.500E+01  1.844E-22  3.180E-13 Akari FIS N60
8.000E+01  1.228E-22  2.607E-13 Akari FIS WIDE-S
1.400E+02  3.583E-23  1.330E-13 Akari FIS WIDE-L
1.600E+02  2.573E-23  1.092E-13 Akari FIS N160
 
 
 
 


lambda    nu*dP/dnu     j_nu
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.000E+04  9.741E-31  2.584E-19
9.908E+03  1.010E-30  2.654E-19
9.817E+03  1.047E-30  2.727E-19
9.727E+03  1.086E-30  2.801E-19
9.638E+03  1.126E-30  2.878E-19
9.550E+03  1.167E-30  2.956E-19
9.462E+03  1.210E-30  3.037E-19
9.376E+03  1.254E-30  3.120E-19
9.290E+03  1.301E-30  3.205E-19
9.204E+03  1.348E-30  3.292E-19
9.120E+03  1.398E-30  3.382E-19
9.036E+03  1.450E-30  3.475E-19
8.954E+03  1.503E-30  3.569E-19
8.872E+03  1.558E-30  3.666E-19
8.790E+03  1.615E-30  3.765E-19
8.710E+03  1.674E-30  3.868E-19
8.630E+03  1.736E-30  3.973E-19
8.551E+03  1.799E-30  4.081E-19
8.472E+03  1.865E-30  4.192E-19
8.395E+03  1.934E-30  4.306E-19
8.318E+03  2.005E-30  4.424E-19
8.241E+03  2.079E-30  4.545E-19
8.166E+03  2.155E-30  4.669E-19
8.091E+03  2.235E-30  4.796E-19
8.017E+03  2.317E-30  4.928E-19
7.943E+03  2.403E-30  5.063E-19
7.870E+03  2.492E-30  5.202E-19
7.798E+03  2.584E-30  5.344E-19
7.727E+03  2.679E-30  5.491E-19
7.656E+03  2.778E-30  5.642E-19
7.586E+03  2.881E-30  5.797E-19
7.516E+03  2.988E-30  5.957E-19
7.447E+03  3.098E-30  6.121E-19
7.379E+03  3.213E-30  6.290E-19
7.311E+03  3.333E-30  6.463E-19
7.244E+03  3.456E-30  6.642E-19
7.178E+03  3.585E-30  6.825E-19
7.112E+03  3.718E-30  7.014E-19
7.047E+03  3.856E-30  7.208E-19
6.982E+03  4.000E-30  7.408E-19
6.918E+03  4.148E-30  7.613E-19
6.855E+03  4.303E-30  7.824E-19
6.792E+03  4.463E-30  8.040E-19
6.730E+03  4.629E-30  8.263E-19
6.668E+03  4.802E-30  8.493E-19
6.607E+03  4.981E-30  8.729E-19
6.546E+03  5.166E-30  8.971E-19
6.486E+03  5.359E-30  9.221E-19
6.427E+03  5.560E-30  9.478E-19
6.368E+03  5.768E-30  9.742E-19
6.310E+03  5.983E-30  1.001E-18
6.252E+03  6.207E-30  1.029E-18
6.194E+03  6.440E-30  1.058E-18
6.138E+03  6.681E-30  1.088E-18
6.081E+03  6.932E-30  1.118E-18
6.026E+03  7.192E-30  1.150E-18
5.970E+03  7.463E-30  1.182E-18
5.916E+03  7.743E-30  1.215E-18
5.861E+03  8.034E-30  1.249E-18
5.808E+03  8.337E-30  1.284E-18
5.754E+03  8.651E-30  1.320E-18
5.702E+03  8.977E-30  1.358E-18
5.649E+03  9.315E-30  1.396E-18
5.598E+03  9.667E-30  1.435E-18
5.546E+03  1.003E-29  1.476E-18
5.495E+03  1.041E-29  1.518E-18
5.445E+03  1.080E-29  1.560E-18
5.395E+03  1.121E-29  1.605E-18
5.346E+03  1.164E-29  1.650E-18
5.297E+03  1.208E-29  1.697E-18
5.248E+03  1.254E-29  1.745E-18
5.200E+03  1.301E-29  1.795E-18
5.152E+03  1.350E-29  1.846E-18
5.105E+03  1.402E-29  1.898E-18
5.058E+03  1.455E-29  1.952E-18
5.012E+03  1.510E-29  2.008E-18
4.966E+03  1.568E-29  2.065E-18
4.920E+03  1.627E-29  2.124E-18
4.875E+03  1.689E-29  2.184E-18
4.831E+03  1.753E-29  2.247E-18
4.786E+03  1.820E-29  2.311E-18
4.742E+03  1.890E-29  2.377E-18
4.699E+03  1.962E-29  2.445E-18
4.656E+03  2.037E-29  2.515E-18
4.613E+03  2.114E-29  2.587E-18
4.571E+03  2.195E-29  2.662E-18
4.529E+03  2.279E-29  2.738E-18
4.487E+03  2.366E-29  2.817E-18
4.446E+03  2.457E-29  2.898E-18
4.406E+03  2.551E-29  2.981E-18
4.365E+03  2.649E-29  3.067E-18
4.325E+03  2.751E-29  3.156E-18
4.285E+03  2.857E-29  3.247E-18
4.246E+03  2.966E-29  3.341E-18
4.207E+03  3.080E-29  3.438E-18
4.169E+03  3.199E-29  3.537E-18
4.130E+03  3.322E-29  3.640E-18
4.093E+03  3.450E-29  3.745E-18
4.055E+03  3.583E-29  3.854E-18
4.018E+03  3.721E-29  3.966E-18
3.981E+03  3.865E-29  4.081E-18
3.945E+03  4.014E-29  4.200E-18
3.908E+03  4.169E-29  4.322E-18
3.873E+03  4.330E-29  4.448E-18
3.837E+03  4.497E-29  4.577E-18
3.802E+03  4.671E-29  4.711E-18
3.767E+03  4.852E-29  4.848E-18
3.733E+03  5.040E-29  4.990E-18
3.698E+03  5.236E-29  5.136E-18
3.664E+03  5.439E-29  5.286E-18
3.631E+03  5.650E-29  5.441E-18
3.597E+03  5.870E-29  5.601E-18
3.565E+03  6.098E-29  5.766E-18
3.532E+03  6.335E-29  5.935E-18
3.499E+03  6.582E-29  6.110E-18
3.467E+03  6.839E-29  6.290E-18
3.436E+03  7.105E-29  6.475E-18
3.404E+03  7.383E-29  6.666E-18
3.373E+03  7.671E-29  6.863E-18
3.342E+03  7.971E-29  7.066E-18
3.311E+03  8.283E-29  7.275E-18
3.281E+03  8.607E-29  7.491E-18
3.251E+03  8.944E-29  7.713E-18
3.221E+03  9.295E-29  7.942E-18
3.192E+03  9.660E-29  8.178E-18
3.162E+03  1.004E-28  8.421E-18
3.133E+03  1.043E-28  8.671E-18
3.105E+03  1.084E-28  8.930E-18
3.076E+03  1.127E-28  9.196E-18
3.048E+03  1.171E-28  9.470E-18
3.020E+03  1.217E-28  9.753E-18
2.992E+03  1.265E-28  1.004E-17
2.965E+03  1.315E-28  1.034E-17
2.938E+03  1.367E-28  1.065E-17
2.911E+03  1.421E-28  1.097E-17
2.884E+03  1.477E-28  1.130E-17
2.858E+03  1.535E-28  1.164E-17
2.831E+03  1.596E-28  1.198E-17
2.805E+03  1.659E-28  1.234E-17
2.780E+03  1.724E-28  1.271E-17
2.754E+03  1.792E-28  1.310E-17
2.729E+03  1.863E-28  1.349E-17
2.704E+03  1.937E-28  1.389E-17
2.679E+03  2.014E-28  1.431E-17
2.655E+03  2.094E-28  1.474E-17
2.630E+03  2.177E-28  1.519E-17
2.606E+03  2.264E-28  1.565E-17
2.582E+03  2.354E-28  1.612E-17
2.559E+03  2.447E-28  1.661E-17
2.535E+03  2.545E-28  1.711E-17
2.512E+03  2.646E-28  1.763E-17
2.489E+03  2.751E-28  1.817E-17
2.466E+03  2.861E-28  1.872E-17
2.443E+03  2.975E-28  1.929E-17
2.421E+03  3.094E-28  1.987E-17
2.399E+03  3.218E-28  2.048E-17
2.377E+03  3.347E-28  2.110E-17
2.355E+03  3.481E-28  2.174E-17
2.333E+03  3.620E-28  2.241E-17
2.312E+03  3.765E-28  2.309E-17
2.291E+03  3.916E-28  2.380E-17
2.270E+03  4.073E-28  2.452E-17
2.249E+03  4.237E-28  2.527E-17
2.228E+03  4.407E-28  2.605E-17
2.208E+03  4.584E-28  2.685E-17
2.188E+03  4.768E-28  2.767E-17
2.168E+03  4.960E-28  2.852E-17
2.148E+03  5.160E-28  2.940E-17
2.128E+03  5.367E-28  3.030E-17
2.109E+03  5.584E-28  3.123E-17
2.089E+03  5.809E-28  3.219E-17
2.070E+03  6.043E-28  3.318E-17
2.051E+03  6.287E-28  3.421E-17
2.032E+03  6.541E-28  3.526E-17
2.014E+03  6.805E-28  3.635E-17
1.995E+03  7.080E-28  3.747E-17
1.977E+03  7.366E-28  3.863E-17
1.959E+03  7.663E-28  3.982E-17
1.941E+03  7.973E-28  4.105E-17
1.923E+03  8.296E-28  4.232E-17
1.905E+03  8.632E-28  4.363E-17
1.888E+03  8.981E-28  4.498E-17
1.871E+03  9.345E-28  4.637E-17
1.854E+03  9.724E-28  4.781E-17
1.837E+03  1.012E-27  4.929E-17
1.820E+03  1.053E-27  5.082E-17
1.803E+03  1.096E-27  5.240E-17
1.786E+03  1.140E-27  5.403E-17
1.770E+03  1.187E-27  5.571E-17
1.754E+03  1.235E-27  5.744E-17
1.738E+03  1.285E-27  5.923E-17
1.722E+03  1.337E-27  6.108E-17
1.706E+03  1.392E-27  6.298E-17
1.690E+03  1.448E-27  6.494E-17
1.675E+03  1.507E-27  6.697E-17
1.660E+03  1.569E-27  6.906E-17
1.644E+03  1.633E-27  7.121E-17
1.629E+03  1.699E-27  7.343E-17
1.614E+03  1.768E-27  7.573E-17
1.600E+03  1.841E-27  7.809E-17
1.585E+03  1.916E-27  8.053E-17
1.570E+03  1.994E-27  8.305E-17
