Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.270E+00  1.121E-24  3.778E-17 COBE-DIRBE
2.220E+00  1.499E-24  8.830E-17 COBE-DIRBE
3.530E+00  1.081E-23  1.012E-15 COBE-DIRBE
4.880E+00  8.445E-24  1.093E-15 COBE-DIRBE
1.229E+01  8.797E-23  2.868E-14 COBE-DIRBE
2.079E+01  1.580E-22  8.716E-14 COBE-DIRBE
5.599E+01  2.156E-22  3.202E-13 COBE-DIRBE
9.770E+01  9.029E-23  2.340E-13 COBE-DIRBE
1.479E+02  3.506E-23  1.375E-13 COBE-DIRBE
2.479E+02  6.596E-24  4.336E-14 COBE-DIRBE
1.200E+01  8.730E-23  2.779E-14 IRAS
2.500E+01  1.943E-22  1.288E-13 IRAS
6.000E+01  2.030E-22  3.232E-13 IRAS
1.000E+02  8.550E-23  2.268E-13 IRAS
3.550E+00  1.249E-23  1.176E-15 SST-IRAC
4.493E+00  5.860E-24  6.983E-16 SST-IRAC
5.731E+00  3.778E-23  5.744E-15 SST-IRAC
7.872E+00  9.909E-23  2.069E-14 SST-IRAC
2.368E+01  1.831E-22  1.150E-13 SST-MIPS
7.142E+01  1.408E-22  2.668E-13 SST-MIPS
1.559E+02  2.732E-23  1.130E-13 SST-MIPS
1.600E+01  1.040E-22  4.414E-14 SST-IRSPU
2.200E+01  1.793E-22  1.047E-13 SST-IRSPU
7.500E+01  1.221E-22  2.429E-13 Herschel-PACS
1.100E+02  6.046E-23  1.764E-13 Herschel-PACS
